Episode #,Training Iter,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,198.0,8.0,20.0,843.0,0.0,509.93934437060403,509.93934437060403,0.0,119.4416971206665,,,,,,,,,,,,,,,,144.74373001076322,161.05107159609753,507.55202179218116,-0.0556238921621775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,216.0,9.0,18.0,861.0,0.0,468.2475193168104,468.2475193168104,0.0,121.39169716835022,,,,,,,,,,,,,,,,171.9690593595486,150.2420959089187,465.6176939422809,-0.03414962423094005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,242.0,10.0,26.0,887.0,0.0,704.1113169559111,704.1113169559111,0.0,123.79374647140503,,,,,,,,,,,,,,,,244.06932063255556,222.87023654785233,698.463978598063,-0.0502741519428952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,294.0,11.0,52.0,939.0,0.0,1150.046336600917,1150.046336600917,0.0,128.12481713294983,,,,,,,,,,,,,,,,321.5198992829965,364.19655838530986,1134.461763601803,-0.1657133308835788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,326.0,12.0,32.0,971.0,0.0,854.1618829742176,854.1618829742176,0.0,131.25492525100708,,,,,,,,,,,,,,,,260.13336961794596,273.80787734708616,846.6842994458898,-0.08063734606526486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,352.0,13.0,26.0,997.0,0.0,735.161288112686,735.161288112686,0.0,133.68570256233215,,,,,,,,,,,,,,,,258.43570964004954,226.03553554898835,729.1711307928377,-0.044910080004909106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,370.0,14.0,18.0,1015.0,0.0,484.87528101000925,484.87528101000925,0.0,135.6184856891632,,,,,,,,,,,,,,,,160.22317589686605,155.7279644894545,482.47373758144715,-0.04132086741210731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,387.0,15.0,17.0,1032.0,0.0,463.7963364871751,463.7963364871751,0.0,137.46952486038208,,,,,,,,,,,,,,,,142.3776330516386,147.83163585379296,461.83775447977706,-0.03952446381390731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,439.0,16.0,52.0,1084.0,0.0,1111.2540791766637,1111.2540791766637,0.0,141.58975625038147,,,,,,,,,,,,,,,,455.9974752388719,315.0838888829877,1088.6308413055483,-0.06098442154015056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,458.0,17.0,19.0,1103.0,0.0,453.1966324735279,453.1966324735279,0.0,143.5999939441681,,,,,,,,,,,,,,,,136.47137292314514,139.14549133316106,451.05473111910726,-0.04311008000490911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
